method,property,seed_count,requested_transitions,evaluable_transitions,median_seed_structure_changed_fraction,median_seed_adjacent_tanimoto,median_seed_q25_adjacent_tanimoto,median_seed_p05_adjacent_tanimoto,median_seed_median_absolute_sa_step_changed,median_seed_p95_absolute_sa_step_changed,median_seed_median_absolute_np_step_changed,median_seed_p95_absolute_np_step_changed,median_seed_median_absolute_property_step_changed,median_seed_p95_absolute_property_step_changed
ChemSpacE extreme-SVM,BertzCT,50,4950,4519,0.25252525252525254,1.0,1.0,0.11304960955688306,0.6519838041607717,4.243564697998583,0.10871151527270001,1.2148336440578316,317.87134825275047,2820.021507737302
ChemSpacE extreme-SVM,FractionCSP3,50,4950,4950,0.3282828282828283,1.0,0.7364593931414208,0.1402912769729201,0.17018724513799932,2.1211421529125336,0.024656071413293817,0.9959608974572985,0.0,0.21431818181818174
ChemSpacE extreme-SVM,HBA,50,4950,4938,0.38340855362131954,1.0,0.7431702213048963,0.12238095238095238,0.2571271650273723,2.256449604874943,0.0525062424377423,1.2239728146982591,0.0,15.0
ChemSpacE extreme-SVM,HeavyAtomCount,50,4950,2746,0.5314935064935065,0.8840729688101656,0.443218954248366,0.08340022111099,0.3313807354949714,2.664042068599488,0.04035905967876802,1.022313149302664,0.5,31.94999999999999
ChemSpacE extreme-SVM,TPSA,50,4950,4950,0.5101010101010102,1.0,0.722007722007722,0.14244441317196738,0.10630289737666576,2.032255261763864,0.01001614481610065,1.0977745643407053,11.199999999999818,193.2237499999998
ChemSpacE extreme-SVM,cLogP,50,4950,4950,0.2676767676767677,1.0,0.7674339549339549,0.13267820718777928,0.6093354436216041,2.507451816442777,0.1610572021872934,1.1973445935461244,2.0288999999999895,28.446059999999843
MolecuLA raw OLS (seed-excluded),BertzCT,50,4950,4950,0.5151515151515151,0.7207792207792207,0.2771306481288496,0.10560051769536308,0.6506163720791942,2.5516130818412988,0.2682322153615545,1.0534805630883177,136.17349856152765,2794.693897700773
MolecuLA raw OLS (seed-excluded),FractionCSP3,50,4950,4950,0.6060606060606061,0.6384943181818181,0.2863181793463484,0.10833841943632193,0.3929260603810518,1.753959974979269,0.2301672124758557,1.0039495628337698,0.03333333333333331,0.15674383587427063
MolecuLA raw OLS (seed-excluded),HBA,50,4950,4947,0.5252525252525253,0.7458482578964507,0.2598350410850411,0.10977298000390892,0.5589051306711172,2.0037266956857582,0.23925088460503613,1.1792395495476962,1.0,13.224999999999994
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,50,4950,4809,0.5151515151515151,0.8678797468354431,0.27284409407738863,0.1133726545556819,0.699427085172909,2.720671649362959,0.22628270487393992,0.9965800108587153,2.75,60.4
MolecuLA raw OLS (seed-excluded),TPSA,50,4950,4950,0.4797979797979798,1.0,0.35174425790503655,0.12194939894514623,0.43286543273325195,1.7185816594308596,0.27965122268979437,1.176606675091152,11.044999999999995,95.91525
MolecuLA raw OLS (seed-excluded),cLogP,50,4950,4950,0.5,0.9811320754716981,0.30949883449883453,0.12773619586795087,0.5742055531840404,2.084250938144994,0.2572775391094649,1.0720210403034807,0.7386250000000005,6.3834374999999755
