method,property,objective,seed_similarity_cutoff,quality_rule,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_delta_sa,median_selected_delta_np,median_selected_np_confidence,selected_scaffold_retention
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.2,none,50,49,0.98,55.39999999999999,0.2948717948717949,1.4245349197244632,0.5956306791581556,0.8103448275862069,0.14893617021276595
ChemSpacE extreme-SVM,TPSA,maximize,0.4,none,50,9,0.18,20.23000000000001,0.5689655172413793,1.068712033990849,0.24844189879963996,0.8979591836734694,0.4444444444444444
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.4,none,50,33,0.66,38.220000000000006,0.5066666666666667,0.7945929393705722,0.3497702661758127,0.8909090909090909,0.3939393939393939
ChemSpacE extreme-SVM,TPSA,maximize,0.6,none,50,2,0.04,13.149999999999999,0.6848484848484848,0.7285642585561942,0.21284469733706118,0.8735544735240415,1.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.6,none,50,15,0.3,20.819999999999997,0.6557377049180327,0.3345723981427957,0.2007618145107228,0.9310344827586207,0.6
ChemSpacE extreme-SVM,cLogP,maximize,0.0,none,50,50,1.0,57.20565999999958,0.0325224748810153,2.2675650830378693,0.9701334585958927,1.0,
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.0,none,50,50,1.0,44.25398999999983,0.05034974883808265,4.02715990107567,1.433756058383201,0.8297101449275363,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.2,none,50,33,0.66,1.5136000000000012,0.3125,0.6132653184482431,0.8171713472047434,0.8732394366197183,0.18181818181818182
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.2,none,50,43,0.86,2.0290000000000026,0.2738095238095238,1.615344750352504,0.6683393962152154,0.8448275862068966,0.13953488372093023
ChemSpacE extreme-SVM,cLogP,maximize,0.4,none,50,15,0.3,0.5063000000000004,0.5526315789473685,0.5299144958326742,0.3151736263573398,0.9130434782608695,0.4666666666666667
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.4,none,50,30,0.6,1.1826000000000012,0.5371752349364289,0.7661544914194685,0.3746724722003103,0.893730407523511,0.5
ChemSpacE extreme-SVM,cLogP,maximize,0.6,none,50,4,0.08,0.4011000000000007,0.6835140306122449,0.2277043823134406,0.2680399071600827,0.9291217257318952,0.75
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.6,none,50,13,0.26,0.6430000000000016,0.6557377049180327,0.7229374219352191,0.35474597103502975,0.9122807017543859,0.7692307692307693
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,np_nondecreasing,50,48,0.96,11430.225878817258,0.014185110663983851,5.545258418691573,1.1161943143659676,0.631578947368421,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,np_nondecreasing,50,49,0.98,4672.529550619234,0.0552486187845303,6.209202032771417,1.3153271809517824,0.5947712418300654,0.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,np_nondecreasing,50,28,0.56,354.6694511062918,0.27251262009444716,2.095696361518179,0.9680613870093611,0.8377984084880636,0.17857142857142858
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,np_nondecreasing,50,41,0.82,339.6222839741173,0.2857142857142857,2.313637407122199,0.9048969754175934,0.819672131147541,0.07317073170731707
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,np_nondecreasing,50,16,0.32,125.58825927346646,0.6208445642407907,0.8046420227211915,0.5048726327068979,0.9281732418524871,0.6875
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,np_nondecreasing,50,25,0.5,290.4193949982947,0.5166666666666667,0.976299151031669,0.5887434854352862,0.8620689655172413,0.28
