method,scale,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_selected_sa_score_delta,median_eligible_candidates
ChemSpacE adapted extreme-SVM,native_l2,cLogP,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,maximize,0.0,50,50,1.0,11053.315719434977,0.00543478260869565,60.0,5.183088625015612,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,maximize,0.2,50,0,0.0,-25.11974962389933,0.2040816326530612,15.0,0.5208593786982263,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,minimize,0.0,50,50,1.0,734.5321357194807,0.01873249299719885,-135.0,0.5463321478133967,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,minimize,0.2,50,1,0.02,25.11974962389933,0.2040816326530612,15.0,0.5208593786982263,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,maximize,0.0,50,50,1.0,0.7142857142857143,0.03693181818181815,30.0,2.08819333078271,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.0,-150.0,5.604522833411194,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,maximize,0.0,50,50,1.0,150.0,0.0303030303030303,60.0,6.016551112293797,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,minimize,0.0,50,50,1.0,4.0,0.0325224748810153,-150.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,maximize,0.0,50,50,1.0,130.0,0.042313201241346354,75.0,5.556192625241645,12.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,maximize,0.2,50,1,0.02,10.0,0.2230769230769231,15.0,2.173298357163861,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,minimize,0.0,50,50,1.0,22.0,0.0,-30.0,4.372470887301648,12.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,minimize,0.2,50,0,0.0,-10.0,0.2230769230769231,15.0,2.173298357163861,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,maximize,0.0,50,50,1.0,1732.1099999999979,0.0298507462686567,82.5,5.879922752029426,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,minimize,0.0,50,50,1.0,57.785000000000004,0.0325224748810153,-150.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,minimize,0.2,50,0,0.0,,,,,0.0
