property,raw_latent_cosine,train_standardized_metric_cosine
FractionCSP3,0.1438023361362772,0.40514504048965394
HBA,0.13315736622663932,0.27608974897581307
TPSA,0.12858287877493702,0.2734319150697479
cLogP,0.12096953724393243,0.22809069866459197
BertzCT,0.09788822446605883,0.22433859929342126
HeavyAtomCount,0.09568567866091301,0.24877602006274174
