scale,property,alpha_sign,pairs,both_valid,median_ols_expected_improvement,median_chemspace_expected_improvement,median_improvement_difference_chemspace_minus_ols,median_ols_seed_similarity,median_chemspace_seed_similarity,median_similarity_difference_chemspace_minus_ols,median_ols_sa_delta,median_chemspace_sa_delta,median_sa_delta_difference_chemspace_minus_ols,ols_fraction_at_decoder_token_budget,chemspace_fraction_at_decoder_token_budget
native_l2,BertzCT,negative,500,415,574.9451081201382,396.499379292522,0.0,0.0612244897959183,0.0222222222222222,-0.0343589743589744,0.0544181084917418,2.1410597534539813,2.017752170801818,0.0,0.28
native_l2,BertzCT,positive,500,500,410.6012927781558,10475.95941373069,9882.08241874975,0.08827294484332385,0.0,-0.08539299242424239,3.2752792173370704,4.842070861233879,1.41221740028258,0.47,1.0
native_l2,FractionCSP3,negative,500,500,0.1407726477318616,0.2857142857142857,0.1111111111111111,0.0769230769230769,0.0114942528735632,-0.06694677871148455,2.6250850674804287,5.582023246110779,2.8709696985633006,0.052,0.906
native_l2,FractionCSP3,positive,500,500,0.5454545454545455,0.7142857142857143,0.059714795008912636,0.0769230769230769,0.0357142857142857,-0.0403409090909091,2.026229423442674,2.2586170056025763,0.12229701457249842,0.148,0.93
native_l2,HBA,negative,500,497,3.0,4.0,0.0,0.0666666666666666,0.0350877192982456,-0.0295019157088122,1.0317824102504782,1.997181155741816,0.7874481953112022,0.0,0.678
native_l2,HBA,positive,500,500,7.0,150.0,138.0,0.0914868059053745,0.0204081632653061,-0.07337986333640606,3.147328995414807,5.434250282416433,2.310427419546867,0.35,0.972
native_l2,HeavyAtomCount,negative,500,41,16.0,23.0,20.0,0.0444444444444444,0.0,-0.9743589743589745,0.6101097099026624,4.681788651080812,4.355921888645302,0.0,0.0
native_l2,HeavyAtomCount,positive,500,500,14.0,128.0,114.0,0.09929437919868535,0.03738644304682035,-0.06397020474209984,3.322535893295419,5.367008355516008,1.6225051842956648,0.464,1.0
native_l2,TPSA,negative,500,500,42.74,57.785000000000004,0.0,0.0769230769230769,0.0327868852459016,-0.043987086359967696,0.8741604800630216,2.1410597534539813,0.8130271494936485,0.01,0.836
native_l2,TPSA,positive,500,500,65.83500000000001,1573.5749999999996,1467.3899999999994,0.09590301003344476,0.0344827586206896,-0.0643335584824947,2.215117744412617,5.6829133457003325,3.18591705739129,0.22,0.97
native_l2,cLogP,negative,500,500,3.3502,79.05289999999896,75.49949999999897,0.0869565217391304,0.0181818181818181,-0.07523584905660374,1.1064266405071193,5.264326122707549,3.980750695418478,0.0,0.802
native_l2,cLogP,positive,500,500,4.715750000000002,56.40919999999958,50.44793999999959,0.0863133248190719,0.0363636363636363,-0.0530327835718328,2.7215451576939103,2.286777861270166,-0.7288729506739333,0.306,0.904
train_std_unit,BertzCT,negative,500,403,-0.0,640.4924236266434,640.4924236266434,1.0,0.0149253731343283,-0.9814814814814815,0.0,2.2467540889116,2.3170349563155552,0.0,0.022
train_std_unit,BertzCT,positive,500,500,0.0,10430.954292258775,10440.17794058814,1.0,0.0,-0.989129150419473,0.0,4.845379439385987,4.8241747063632925,0.0,0.946
train_std_unit,FractionCSP3,negative,500,500,-0.0,0.2727272727272727,0.2727272727272727,1.0,0.0121951219512195,-0.9871794871794872,0.0,5.38952748560979,5.38952748560979,0.0,0.808
train_std_unit,FractionCSP3,positive,500,500,0.0,0.7,0.7,1.0,0.0363636363636363,-0.9636363636363637,0.0,2.2467540889116,2.2467540889116,0.0,0.864
train_std_unit,HBA,negative,500,499,-0.0,4.0,4.0,1.0,0.0357142857142857,-0.9636363636363637,0.0,1.7756407893318356,1.8043765359918842,0.0,0.538
train_std_unit,HBA,positive,500,500,0.0,149.0,149.0,1.0,0.027027027027027,-0.9705882352941178,0.0,5.442182378953079,5.442182378953079,0.0,0.908
train_std_unit,HeavyAtomCount,negative,500,80,-0.0,22.0,22.0,1.0,0.0219806763285024,-0.9772727272727273,0.0,1.1634829548746328,1.1634829548746328,0.0,0.0
train_std_unit,HeavyAtomCount,positive,500,500,0.0,126.0,126.0,1.0,0.0476190476190476,-0.9487179487179488,0.0,4.982698769222006,4.8372169004246,0.0,0.928
train_std_unit,TPSA,negative,500,500,-0.0,57.785000000000004,57.785000000000004,1.0,0.03419053185271765,-0.963961038961039,0.0,2.07217027929356,2.1042163822718605,0.0,0.744
train_std_unit,TPSA,positive,500,500,0.0,1614.199999999999,1613.094999999999,1.0,0.036090307174644495,-0.9626844890002786,0.0,5.647874585821705,5.657265945592224,0.0,0.906
train_std_unit,cLogP,negative,500,500,-0.0,77.17849999999896,77.17849999999896,1.0,0.0238095238095238,-0.9759001161440186,0.0,5.038340774256501,5.038340774256501,0.0,0.658
train_std_unit,cLogP,positive,500,500,0.0,56.090449999999606,56.090449999999606,1.0,0.0416666666666666,-0.9526055705300989,0.0,2.3070476529415793,2.3070476529415793,0.0,0.822
