property,cosine_seed_excluded_vs_historical_raw_ols
FractionCSP3,0.9999999958632104
HBA,0.9999999867902194
TPSA,0.9999999915256206
cLogP,0.9999999917847103
BertzCT,0.999999997139707
HeavyAtomCount,0.9999999976959442
