method,property,seed_id,seed_row_index,spearman_alpha_property,linear_slope_property_per_alpha,seed_moves_expected_direction,expected_sign_fraction_valid_candidates,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_retention_fraction,best_increase,best_decrease
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,73191,0.9705097954766303,0.004185130369186491,True,0.88,1.0,0.88,0.88,0.08695652173913043,0.17073170731707318,0.7272727272727273,0.2727272727272727
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,682034,0.9653297438012292,0.004087550446342399,True,0.91,1.0,0.85,0.85,0.11803482587064676,0.36363636363636365,0.5384615384615385,0.4615384615384615
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,736200,0.8904563470055313,0.004024994069904785,True,0.78,1.0,0.75,0.75,0.052647783251231525,0.3048780487804878,0.9166666666666667,0.0833333333333333
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,501789,0.8336828760347927,0.004035115431392924,True,0.62,1.0,0.85,0.85,0.06421703296703296,0.15463917525773196,0.9523809523809524,0.0476190476190476
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,519962,0.9631320285884633,0.0039185933812709165,True,0.84,1.0,0.84,0.84,0.10294117647058823,0.20253164556962025,0.6923076923076923,0.3076923076923077
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,584456,0.9371042099057665,0.003805664858103347,True,0.84,1.0,0.84,0.84,0.07634032634032634,0.21686746987951808,0.7067247820672479,0.2727272727272727
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,357837,0.9469010408717721,0.004163415331420191,True,0.77,1.0,0.8,0.8,0.08771929824561403,0.47761194029850745,0.75,0.25
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,775000,0.7951626268403819,0.0037476045634981694,True,0.65,1.0,1.0,1.0,0.07304369918699187,0.0,0.9130434782608696,0.0869565217391304
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,569940,0.9386221471360474,0.004429559741489662,True,0.85,1.0,0.86,0.86,0.0660436137071651,0.15555555555555556,0.7,0.3
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,50695,0.945600764245088,0.003927019952985562,True,0.81,1.0,0.84,0.84,0.06557377049180328,0.1839080459770115,0.7561950439648282,0.2222222222222222
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,604624,0.9332071920897769,0.0039913066515270094,True,0.88,1.0,0.89,0.89,0.09324059986959357,0.11956521739130435,0.47619047619047616,0.5238095238095238
MolecuLA raw OLS (seed-excluded),FractionCSP3,38,352240,0.943406044021634,0.0038378899824979425,True,0.85,1.0,0.85,0.85,0.07421977445580907,0.17045454545454544,0.3028024606971975,0.6842105263157895
MolecuLA raw OLS (seed-excluded),FractionCSP3,39,681818,0.8251783025866906,0.0034405135543528298,True,0.69,1.0,0.81,0.81,0.09109730848861283,0.2676056338028169,0.8,0.2
MolecuLA raw OLS (seed-excluded),FractionCSP3,40,433279,0.922692819498611,0.0036973453960366153,True,0.94,1.0,0.85,0.85,0.08695652173913043,0.21739130434782608,0.5384615384615385,0.4615384615384615
MolecuLA raw OLS (seed-excluded),FractionCSP3,41,180515,0.982083109900526,0.004015026910194783,True,0.91,1.0,0.85,0.85,0.07806549885757808,0.18292682926829268,0.6190476190476191,0.3809523809523809
MolecuLA raw OLS (seed-excluded),FractionCSP3,42,68271,0.7993816210569065,0.0036818825895204455,True,0.81,1.0,0.86,0.86,0.0759493670886076,0.1590909090909091,0.8235294117647058,0.1764705882352941
MolecuLA raw OLS (seed-excluded),FractionCSP3,43,620859,0.7711617999641913,0.0029431845110941012,True,0.75,1.0,0.79,0.79,0.09090909090909091,0.39622641509433965,0.7692307692307693,0.2307692307692307
MolecuLA raw OLS (seed-excluded),FractionCSP3,44,614795,0.9473654752336789,0.003999711294235313,True,0.88,1.0,0.89,0.89,0.07873376623376624,0.14285714285714285,0.52,0.48
MolecuLA raw OLS (seed-excluded),FractionCSP3,45,145013,0.9689031511429167,0.003788923911844335,True,0.85,1.0,0.86,0.86,0.07781620553359683,0.19718309859154928,0.55,0.45
MolecuLA raw OLS (seed-excluded),FractionCSP3,46,294552,0.8579629296831126,0.003686375190032943,True,0.77,1.0,0.85,0.85,0.08001422475106686,0.17857142857142858,0.8,0.2
MolecuLA raw OLS (seed-excluded),FractionCSP3,47,101769,0.9401187034709495,0.004064207952952495,True,0.92,1.0,0.84,0.84,0.09413067552602436,0.1797752808988764,0.5789473684210527,0.4210526315789473
MolecuLA raw OLS (seed-excluded),FractionCSP3,48,74811,0.9647707043139715,0.0040592905452371585,True,0.84,1.0,0.84,0.84,0.08770604395604395,0.19540229885057472,0.6923076923076923,0.3076923076923077
MolecuLA raw OLS (seed-excluded),FractionCSP3,49,657462,0.9476011332631272,0.0042520326181835965,True,0.89,1.0,0.89,0.89,0.09175084175084175,0.12359550561797752,0.55,0.45
MolecuLA raw OLS (seed-excluded),HBA,0,319669,0.9490850155853627,0.06941782178217823,True,0.84,1.0,0.89,0.89,0.07029411764705883,0.1728395061728395,31.0,3.0
MolecuLA raw OLS (seed-excluded),HBA,1,407691,0.9542134159237254,0.09453663366336637,True,0.86,1.0,0.86,0.86,0.06710061073609772,0.2698412698412698,47.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,2,357774,0.9639230237971466,0.10545148514851488,True,0.83,1.0,0.83,0.83,0.06301331067686208,0.32075471698113206,57.0,2.0
MolecuLA raw OLS (seed-excluded),HBA,3,70896,0.95960331561714,0.11827920792079208,True,0.79,1.0,0.89,0.89,0.07229344729344729,0.2361111111111111,83.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,4,618350,0.8297698284546318,0.04882574257425744,True,0.76,1.0,0.87,0.87,0.08864285714285713,0.16883116883116883,24.0,5.0
MolecuLA raw OLS (seed-excluded),HBA,5,771121,0.7139149534231598,0.06313663366336633,True,0.66,1.0,0.96,0.96,0.06172839506172839,0.04040404040404041,51.0,9.0
MolecuLA raw OLS (seed-excluded),HBA,6,511472,0.7148697610959656,0.07096435643564357,True,0.71,1.0,0.96,0.96,0.07241400836506648,0.05333333333333334,41.0,9.0
MolecuLA raw OLS (seed-excluded),HBA,7,556492,0.9696176658901623,0.09852871287128717,True,0.77,1.0,0.77,0.77,0.05970149253731343,0.5416666666666666,46.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,8,219855,0.9053193009682584,0.07315049504950497,True,0.74,1.0,0.86,0.86,0.10204081632653061,0.2,35.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,9,354054,0.9269323429618149,0.110970297029703,True,0.77,1.0,0.81,0.81,0.10183150183150183,0.3584905660377358,58.0,5.0
MolecuLA raw OLS (seed-excluded),HBA,10,281634,0.9774444417689837,0.0835920792079208,True,0.88,1.0,0.88,0.88,0.07142857142857142,0.17647058823529413,32.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,11,538540,0.939091433452851,0.03618217821782179,True,0.79,1.0,0.8,0.8,0.140625,0.3225806451612903,18.0,3.0
MolecuLA raw OLS (seed-excluded),HBA,12,343969,0.9849243047138923,0.09544356435643568,True,0.9,1.0,0.9,0.9,0.09918032786885246,0.12359550561797752,28.0,4.0
MolecuLA raw OLS (seed-excluded),HBA,13,53955,0.9833178123882285,0.11013861386138615,True,0.83,1.0,0.83,0.83,0.0770371835443038,0.5961538461538461,85.0,3.0
