method,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_eligible_candidates
ChemSpacE extreme-SVM,cLogP,minimize,0.6,50,4,0.08,0.15415,0.6892213983050848,-1.4210854715202004e-14,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,50,50,1.0,4578.523580818057,0.05660981663864201,140.90909090909088,89.5
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,50,43,0.86,320.2296300818324,0.29577464788732394,37.878787878787875,14.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,50,27,0.54,181.332607248351,0.5166666666666667,22.72727272727272,3.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,50,13,0.26,130.0950704327505,0.6417060294526258,16.666666666666657,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.0,50,50,1.0,733.5321357194807,0.02817460317460317,-150.0,89.5
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.2,50,44,0.88,364.10807533985945,0.28474903474903474,-28.787878787878782,14.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.4,50,25,0.5,83.37647599190723,0.5,-19.69696969696969,3.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.6,50,7,0.14,-34.77585086863371,0.625,0.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,50,50,1.0,0.7105052481764811,0.062133374498301946,75.75757575757576,85.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,50,48,0.96,0.2,0.2597402597402597,28.787878787878782,7.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,50,27,0.54,0.0714285714285714,0.49230769230769234,16.666666666666657,2.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,50,7,0.14,3.469446951953614e-18,0.7078260869565217,-15.151515151515142,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.04520697167755991,-150.0,85.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.2,50,38,0.76,0.0708333333333333,0.3125,-31.818181818181813,7.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.4,50,19,0.38,0.003623188405797076,0.49230769230769234,-22.727272727272734,2.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.6,50,7,0.14,0.009090909090909094,0.6952837140751658,-21.21212121212121,0.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,50,50,1.0,38.5,0.05217489933647139,140.90909090909088,86.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,50,48,0.96,4.0,0.2692307692307692,34.848484848484844,11.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.4,50,32,0.64,2.0,0.5070422535211268,22.72727272727272,3.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.6,50,10,0.2,1.0,0.6724137931034483,16.666666666666657,0.0
MolecuLA raw OLS (seed-excluded),HBA,minimize,0.0,50,50,1.0,4.0,0.02128623188405797,-150.0,86.0
MolecuLA raw OLS (seed-excluded),HBA,minimize,0.2,50,34,0.68,1.0,0.3090909090909091,-34.848484848484844,11.0
MolecuLA raw OLS (seed-excluded),HBA,minimize,0.4,50,16,0.32,-0.0,0.47692307692307695,-25.757575757575765,3.0
MolecuLA raw OLS (seed-excluded),HBA,minimize,0.6,50,2,0.04,-0.0,0.6666666666666666,-19.69696969696969,0.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.0,50,50,1.0,100.0,0.05806681147479589,140.90909090909088,87.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.2,50,44,0.88,7.0,0.3,31.818181818181813,15.5
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.4,50,31,0.62,5.0,0.47761194029850745,22.72727272727272,5.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.6,50,11,0.22,2.0,0.6666666666666666,10.606060606060595,0.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,minimize,0.0,50,50,1.0,23.0,0.0,-150.0,87.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,minimize,0.2,50,45,0.9,8.0,0.2631578947368421,-31.818181818181813,15.5
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,minimize,0.4,50,25,0.5,2.0,0.5,-22.727272727272734,5.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,minimize,0.6,50,8,0.16,-0.0,0.639344262295082,-16.666666666666657,0.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.0,50,50,1.0,246.96999999999997,0.07021126760563381,116.66666666666669,84.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.2,50,49,0.98,55.39999999999999,0.2948717948717949,37.878787878787875,12.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.4,50,33,0.66,29.264999999999997,0.5068544600938967,25.75757575757575,5.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.6,50,15,0.3,17.070000000000007,0.6585140137493389,22.72727272727272,0.0
MolecuLA raw OLS (seed-excluded),TPSA,minimize,0.0,50,50,1.0,57.785000000000004,0.04,-150.0,84.0
MolecuLA raw OLS (seed-excluded),TPSA,minimize,0.2,50,35,0.7,17.59999999999998,0.2894736842105263,-37.878787878787875,12.0
MolecuLA raw OLS (seed-excluded),TPSA,minimize,0.4,50,20,0.4,-0.0,0.5366344605475041,-30.303030303030297,5.0
MolecuLA raw OLS (seed-excluded),TPSA,minimize,0.6,50,6,0.12,-17.07,0.6665785298783712,19.69696969696969,0.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.0,50,50,1.0,44.25398999999983,0.05034974883808272,150.0,84.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.2,50,43,0.86,1.8838450000000027,0.2795138888888889,34.848484848484844,12.5
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.4,50,30,0.6,0.7987900000000012,0.5371752349364289,22.72727272727272,4.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.6,50,13,0.26,0.47235000000000027,0.6504494976203067,18.181818181818173,0.0
MolecuLA raw OLS (seed-excluded),cLogP,minimize,0.0,50,50,1.0,5.085750000000002,0.07198275862068965,-98.48484848484848,84.0
MolecuLA raw OLS (seed-excluded),cLogP,minimize,0.2,50,44,0.88,1.5924000000000014,0.28035714285714286,-36.36363636363636,12.5
MolecuLA raw OLS (seed-excluded),cLogP,minimize,0.4,50,25,0.5,0.40951000000000004,0.5360985768830266,-27.272727272727273,4.0
MolecuLA raw OLS (seed-excluded),cLogP,minimize,0.6,50,10,0.2,0.23839999999999995,0.639344262295082,-25.757575757575765,0.0
