method,property,seed_id,confound,spearman_alpha_confound,linear_slope_confound_per_alpha
MolecuLA raw OLS (seed-excluded),FractionCSP3,12,branch_token_count,0.42015879553875873,0.009893069306930692
MolecuLA raw OLS (seed-excluded),FractionCSP3,12,ring_token_count,-0.9679692643017191,-0.039972277227722786
MolecuLA raw OLS (seed-excluded),FractionCSP3,12,token_entropy,-0.7345165661347036,-0.005144384752333513
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,selfies_len_tokens,-0.04097071895997642,0.0008792079207921448
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,branch_token_count,0.5788681836433164,0.018564356435643563
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,ring_token_count,-0.8806814308749739,-0.01717227722772278
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,token_entropy,-0.7695674685210256,-0.0030698388840135187
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,selfies_len_tokens,-0.1056533066603352,-0.012122772277227746
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,branch_token_count,0.6167795040052809,0.006601980198019802
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,ring_token_count,-0.9119214207853115,-0.0273881188118812
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,token_entropy,-0.5511776799219719,-0.0034542188391486124
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,selfies_len_tokens,-0.15933823051452892,0.037229702970297054
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,branch_token_count,0.756345636848331,0.009071287128712873
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,ring_token_count,-0.8802689058073238,-0.022097029702970297
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,token_entropy,-0.4125641431463578,-0.003316060771516127
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,selfies_len_tokens,-0.3926555252597889,-0.06362772277227713
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,branch_token_count,0.7829985073362291,0.01057821782178218
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,ring_token_count,-0.8937448017217967,-0.027433663366336635
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,token_entropy,-0.3381997559242806,-0.0030536514349503263
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,selfies_len_tokens,0.2718048199164384,0.18405940594059403
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,branch_token_count,0.04283561267509592,0.000637623762376237
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,ring_token_count,-0.9433408564044284,-0.04102970297029703
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,token_entropy,-0.6416057162079716,-0.005850870646573469
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,selfies_len_tokens,-0.357146370933028,-0.09191089108910888
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,branch_token_count,0.8352392009245179,0.016760396039603963
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,ring_token_count,-0.9836809504226565,-0.0347108910891089
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,token_entropy,-0.31820959320543346,-0.00253952860993312
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,selfies_len_tokens,-0.5183427309435288,-0.1154257425742574
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,branch_token_count,0.3312695726622962,0.0036613861386138617
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,ring_token_count,-0.9652679910436244,-0.03353267326732674
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,token_entropy,-0.20990210801117437,-0.0017397600665928692
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,selfies_len_tokens,-0.017756103839010717,-0.025659405940594134
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,branch_token_count,0.43900085996083527,0.012681188118811883
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,ring_token_count,-0.980107924736748,-0.03848910891089111
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,token_entropy,-0.517294408651339,-0.004217546386593304
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,selfies_len_tokens,0.0427960452412907,0.10767326732673263
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,branch_token_count,0.8225610879935497,0.021916831683168318
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,ring_token_count,-0.9539052574062231,-0.031340594059405945
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,token_entropy,-0.4288749720217039,-0.002727129900524749
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,selfies_len_tokens,-0.05258488185168203,0.025558415841584126
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,branch_token_count,0.42460571045572354,0.009463366336633668
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,ring_token_count,-0.9842931411852689,-0.04409306930693069
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,token_entropy,-0.7527583836604167,-0.004849571515396257
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,selfies_len_tokens,-0.12341344254080815,0.047150495049504935
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,branch_token_count,0.3083220299045076,0.003653465346534655
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,ring_token_count,-0.7871342038327417,-0.022233663366336642
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,token_entropy,-0.9482882886175973,-0.0052137905395357
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,selfies_len_tokens,-0.13170732843578986,0.080118811881188
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,branch_token_count,0.3943426936440923,0.004287128712871288
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,ring_token_count,-0.8678855446672983,-0.021295049504950498
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,token_entropy,-0.4543800984059686,-0.003629367381434852
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,selfies_len_tokens,-0.22094466813912428,-0.02635445544554456
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,branch_token_count,0.7276181004851053,0.014643564356435643
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,ring_token_count,-0.9095567934436001,-0.029722772277227714
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,token_entropy,-0.4346270986304484,-0.003129443295358571
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,selfies_len_tokens,-0.1782131308655776,-0.015459405940594032
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,branch_token_count,0.8744401296212032,0.01605544554455446
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,ring_token_count,-0.8685506319725567,-0.02593069306930694
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,token_entropy,-0.5796633913810392,-0.0034620379892787256
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,selfies_len_tokens,0.11216307735022689,0.1871663366336634
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,branch_token_count,0.6425225216197312,0.015237623762376239
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,ring_token_count,-0.9494244295941329,-0.03286732673267328
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,token_entropy,-0.7566976545215532,-0.005314751561379026
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,selfies_len_tokens,0.03406806930483879,0.1827326732673267
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,branch_token_count,0.436663777389867,0.005564356435643566
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,ring_token_count,-0.9364515160419784,-0.025142574257425755
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,token_entropy,-0.8585761334540158,-0.005645536701341205
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,selfies_len_tokens,-0.31766477043216357,-0.06122574257425744
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,branch_token_count,0.5448763937237988,0.007625742574257423
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,ring_token_count,-0.9271731120759806,-0.02594653465346535
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,token_entropy,-0.356471733562485,-0.0027210124533888157
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,selfies_len_tokens,-0.4812824228426765,-0.12901980198019808
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,branch_token_count,0.769659572834815,0.014556435643564356
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,ring_token_count,-0.9546830703229663,-0.030780198019801985
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,token_entropy,-0.14376674885334514,-0.0013097549455864546
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,selfies_len_tokens,-0.3122827607584557,0.09109108910891091
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,branch_token_count,-0.150348208730664,-0.009207920792079211
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,ring_token_count,-0.8124007064506868,-0.02593069306930694
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,token_entropy,-0.7100949040167797,-0.005397566195778654
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,selfies_len_tokens,-0.12198214005931086,0.023778217821782206
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,branch_token_count,0.08518235425023966,0.000596039603960391
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,ring_token_count,-0.7752121592213291,-0.023419801980198027
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,token_entropy,-0.6578599480923443,-0.00418175072035454
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,selfies_len_tokens,-0.03259766674777666,0.11126930693069308
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,branch_token_count,0.5875525906143104,0.012087128712871292
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,ring_token_count,-0.9098049115234336,-0.019459405940594057
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,token_entropy,-0.5826045638095211,-0.004123700924088425
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,selfies_len_tokens,-0.34568708915835544,-0.16516633663366337
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,branch_token_count,0.6183907942972197,0.01822376237623763
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,ring_token_count,-0.9703300463061698,-0.04437821782178218
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,token_entropy,-0.21222187407473395,-0.0014498344038905552
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,selfies_len_tokens,-0.07494825360310042,0.05916831683168315
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,branch_token_count,0.1318372289266635,0.0011445544554455447
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,ring_token_count,-0.9678761929253219,-0.03783366336633663
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,token_entropy,-0.45283406675547505,-0.003983345624597581
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,selfies_len_tokens,-0.15845540611322317,0.005621782178217828
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,branch_token_count,0.6478123236840122,0.01156237623762377
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,ring_token_count,-0.8992846547141576,-0.026980198019801994
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,token_entropy,-0.41127484147972293,-0.0025830542147789715
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,selfies_len_tokens,-0.24464119252988592,0.11862178217821785
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,branch_token_count,0.21405547042481057,0.0017069306930693085
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,ring_token_count,-0.9375746767722338,-0.04041980198019802
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,token_entropy,-0.7519451679296514,-0.005506487918010999
MolecuLA raw OLS (seed-excluded),FractionCSP3,38,selfies_len_tokens,-0.04551422718507279,0.09021980198019794
MolecuLA raw OLS (seed-excluded),FractionCSP3,38,branch_token_count,-0.2674534599717728,-0.0074198019801980175
MolecuLA raw OLS (seed-excluded),FractionCSP3,38,ring_token_count,-0.9337697904267354,-0.029710891089108914
MolecuLA raw OLS (seed-excluded),FractionCSP3,38,token_entropy,-0.7617073731385032,-0.005203416784851482
MolecuLA raw OLS (seed-excluded),FractionCSP3,39,selfies_len_tokens,-0.10903972008275031,0.06698019801980198
MolecuLA raw OLS (seed-excluded),FractionCSP3,39,branch_token_count,-0.4980235592009807,-0.008399999999999998
MolecuLA raw OLS (seed-excluded),FractionCSP3,39,ring_token_count,-0.8710372861998447,-0.01750495049504951
MolecuLA raw OLS (seed-excluded),FractionCSP3,39,token_entropy,-0.5096368863033177,-0.0041237114787173726
MolecuLA raw OLS (seed-excluded),FractionCSP3,40,selfies_len_tokens,-0.10612172154643398,0.13245346534653474
MolecuLA raw OLS (seed-excluded),FractionCSP3,40,branch_token_count,-0.6070213067674107,-0.011702970297029708
MolecuLA raw OLS (seed-excluded),FractionCSP3,40,ring_token_count,-0.9324604126604442,-0.02896039603960396
MolecuLA raw OLS (seed-excluded),FractionCSP3,40,token_entropy,-0.8130180168305863,-0.00560197297205875
MolecuLA raw OLS (seed-excluded),FractionCSP3,41,selfies_len_tokens,0.12036908739668796,0.07233069306930699
MolecuLA raw OLS (seed-excluded),FractionCSP3,41,branch_token_count,0.8835644420487638,0.017873267326732677
MolecuLA raw OLS (seed-excluded),FractionCSP3,41,ring_token_count,-0.9833583093598304,-0.036083168316831685
MolecuLA raw OLS (seed-excluded),FractionCSP3,41,token_entropy,-0.6450708041332331,-0.004525252078381869
MolecuLA raw OLS (seed-excluded),FractionCSP3,42,selfies_len_tokens,-0.11309533644371265,0.09167524752475248
MolecuLA raw OLS (seed-excluded),FractionCSP3,42,branch_token_count,0.38934997396212584,0.006772277227722776
MolecuLA raw OLS (seed-excluded),FractionCSP3,42,ring_token_count,-0.9629085132911281,-0.034007920792079205
MolecuLA raw OLS (seed-excluded),FractionCSP3,42,token_entropy,-0.6125914633515832,-0.005270620251838978
MolecuLA raw OLS (seed-excluded),FractionCSP3,43,selfies_len_tokens,-0.13706195026757786,0.12914059405940603
MolecuLA raw OLS (seed-excluded),FractionCSP3,43,branch_token_count,-0.08216236979038255,-0.004378217821782183
MolecuLA raw OLS (seed-excluded),FractionCSP3,43,ring_token_count,-0.9421282075465681,-0.025829702970297037
MolecuLA raw OLS (seed-excluded),FractionCSP3,43,token_entropy,-0.49980307562395004,-0.005233080728772884
MolecuLA raw OLS (seed-excluded),FractionCSP3,44,selfies_len_tokens,0.23202049681520062,0.14707128712871287
MolecuLA raw OLS (seed-excluded),FractionCSP3,44,branch_token_count,0.38585770826220417,0.012827722772277238
MolecuLA raw OLS (seed-excluded),FractionCSP3,44,ring_token_count,-0.9606678454278319,-0.028271287128712876
MolecuLA raw OLS (seed-excluded),FractionCSP3,44,token_entropy,-0.817822826871705,-0.0053857011272090615
MolecuLA raw OLS (seed-excluded),FractionCSP3,45,selfies_len_tokens,-0.04247740159348443,0.2069465346534654
MolecuLA raw OLS (seed-excluded),FractionCSP3,45,branch_token_count,-0.0631744026719648,-0.005025742574257424
MolecuLA raw OLS (seed-excluded),FractionCSP3,45,ring_token_count,-0.9656266277135879,-0.031245544554455457
MolecuLA raw OLS (seed-excluded),FractionCSP3,45,token_entropy,-0.5393661431886537,-0.005971382234478301
MolecuLA raw OLS (seed-excluded),FractionCSP3,46,selfies_len_tokens,-0.32301811481830167,0.09884752475247525
MolecuLA raw OLS (seed-excluded),FractionCSP3,46,branch_token_count,0.22978422771225168,0.0021405940594059424
MolecuLA raw OLS (seed-excluded),FractionCSP3,46,ring_token_count,-0.960187438533773,-0.027118811881188132
MolecuLA raw OLS (seed-excluded),FractionCSP3,46,token_entropy,-0.6571861191826411,-0.004380291555542656
MolecuLA raw OLS (seed-excluded),FractionCSP3,47,selfies_len_tokens,-0.07905305975103759,-0.03912871287128715
MolecuLA raw OLS (seed-excluded),FractionCSP3,47,branch_token_count,0.5550697130664398,0.012578217821782173
MolecuLA raw OLS (seed-excluded),FractionCSP3,47,ring_token_count,-0.9769140107518626,-0.03730099009900991
MolecuLA raw OLS (seed-excluded),FractionCSP3,47,token_entropy,-0.6399896194371278,-0.004479857009472122
MolecuLA raw OLS (seed-excluded),FractionCSP3,48,selfies_len_tokens,-0.331286446086877,0.018548514851485117
MolecuLA raw OLS (seed-excluded),FractionCSP3,48,branch_token_count,-0.0669639961703314,-2.9702970297030532e-05
MolecuLA raw OLS (seed-excluded),FractionCSP3,48,ring_token_count,-0.958604868890694,-0.022455445544554465
MolecuLA raw OLS (seed-excluded),FractionCSP3,48,token_entropy,-0.9292450292338414,-0.003839352051764207
MolecuLA raw OLS (seed-excluded),FractionCSP3,49,selfies_len_tokens,-0.2058998505807151,0.12883564356435645
MolecuLA raw OLS (seed-excluded),FractionCSP3,49,branch_token_count,0.0552969944660138,-0.0023366336633663387
MolecuLA raw OLS (seed-excluded),FractionCSP3,49,ring_token_count,-0.9481016822157073,-0.03168712871287129
MolecuLA raw OLS (seed-excluded),FractionCSP3,49,token_entropy,-0.7729638722395306,-0.00539432679461195
MolecuLA raw OLS (seed-excluded),HBA,0,selfies_len_tokens,0.9970945992638259,0.45780990099009905
MolecuLA raw OLS (seed-excluded),HBA,0,branch_token_count,0.9774227216324557,0.04984752475247525
MolecuLA raw OLS (seed-excluded),HBA,0,ring_token_count,0.962351363240388,0.04437821782178218
MolecuLA raw OLS (seed-excluded),HBA,0,token_entropy,0.8548159605675268,0.004810409327432799
MolecuLA raw OLS (seed-excluded),HBA,1,selfies_len_tokens,0.9949742252848355,0.43748514851485165
MolecuLA raw OLS (seed-excluded),HBA,1,branch_token_count,0.9697881500582995,0.03554257425742575
MolecuLA raw OLS (seed-excluded),HBA,1,ring_token_count,0.9538814096365795,0.031083168316831687
MolecuLA raw OLS (seed-excluded),HBA,1,token_entropy,0.8713225410405511,0.005899273147452459
MolecuLA raw OLS (seed-excluded),HBA,2,selfies_len_tokens,0.9938426302382599,0.40832673267326747
MolecuLA raw OLS (seed-excluded),HBA,2,branch_token_count,0.9426262002551712,0.03723564356435644
MolecuLA raw OLS (seed-excluded),HBA,2,ring_token_count,0.9382854908881102,0.028144554455445545
MolecuLA raw OLS (seed-excluded),HBA,2,token_entropy,0.8751451783454628,0.004601220387975016
MolecuLA raw OLS (seed-excluded),HBA,3,selfies_len_tokens,0.9939669120589855,0.5192831683168317
MolecuLA raw OLS (seed-excluded),HBA,3,branch_token_count,0.9884503456323668,0.11995445544554456
MolecuLA raw OLS (seed-excluded),HBA,3,ring_token_count,0.9514852191809926,0.03374059405940595
MolecuLA raw OLS (seed-excluded),HBA,3,token_entropy,0.7544069391326444,0.003439792313243168
MolecuLA raw OLS (seed-excluded),HBA,4,selfies_len_tokens,0.9939906334466186,0.5042415841584158
MolecuLA raw OLS (seed-excluded),HBA,4,branch_token_count,0.8607081174685182,0.04267722772277228
MolecuLA raw OLS (seed-excluded),HBA,4,ring_token_count,0.8494916833120945,0.021629702970297034
MolecuLA raw OLS (seed-excluded),HBA,4,token_entropy,0.7823662305571272,0.0033691726852392023
MolecuLA raw OLS (seed-excluded),HBA,5,selfies_len_tokens,0.9863548382430397,0.5541821782178219
MolecuLA raw OLS (seed-excluded),HBA,5,branch_token_count,0.9185381411212452,0.04922376237623763
MolecuLA raw OLS (seed-excluded),HBA,5,ring_token_count,0.9195464810892803,0.057512871287128724
MolecuLA raw OLS (seed-excluded),HBA,5,token_entropy,0.5853046949699261,0.0024456476124320625
MolecuLA raw OLS (seed-excluded),HBA,6,selfies_len_tokens,0.9955690220773855,0.4756415841584159
MolecuLA raw OLS (seed-excluded),HBA,6,branch_token_count,0.8743704974259339,0.028281188118811883
MolecuLA raw OLS (seed-excluded),HBA,6,ring_token_count,0.9278970119470747,0.03453861386138614
MolecuLA raw OLS (seed-excluded),HBA,6,token_entropy,0.6816299591797937,0.00427574111166112
MolecuLA raw OLS (seed-excluded),HBA,7,selfies_len_tokens,0.9913185440475459,0.40479009900990115
MolecuLA raw OLS (seed-excluded),HBA,7,branch_token_count,0.9649373680595704,0.04270099009900991
MolecuLA raw OLS (seed-excluded),HBA,7,ring_token_count,0.9218825828840971,0.03493267326732674
MolecuLA raw OLS (seed-excluded),HBA,7,token_entropy,0.7859456081248952,0.005015461571064533
MolecuLA raw OLS (seed-excluded),HBA,8,selfies_len_tokens,0.9889300248484387,0.49691683168316836
MolecuLA raw OLS (seed-excluded),HBA,8,branch_token_count,0.9492707479294819,0.04552673267326733
MolecuLA raw OLS (seed-excluded),HBA,8,ring_token_count,0.7276492345480824,0.022213861386138616
MolecuLA raw OLS (seed-excluded),HBA,8,token_entropy,0.6941784272632738,0.0030414483876813996
MolecuLA raw OLS (seed-excluded),HBA,9,selfies_len_tokens,0.9853320406659207,0.43974653465346547
MolecuLA raw OLS (seed-excluded),HBA,9,branch_token_count,0.9575975420298094,0.049209900990099024
MolecuLA raw OLS (seed-excluded),HBA,9,ring_token_count,0.9470637709730307,0.02310891089108912
MolecuLA raw OLS (seed-excluded),HBA,9,token_entropy,0.7487054702360528,0.006577778592203767
MolecuLA raw OLS (seed-excluded),HBA,10,selfies_len_tokens,0.9958636390165588,0.4684376237623763
MolecuLA raw OLS (seed-excluded),HBA,10,branch_token_count,0.9742246630756793,0.0522851485148515
MolecuLA raw OLS (seed-excluded),HBA,10,ring_token_count,0.8484897036969961,0.02172475247524753
MolecuLA raw OLS (seed-excluded),HBA,10,token_entropy,0.7232330080485079,0.004102332892091879
MolecuLA raw OLS (seed-excluded),HBA,11,selfies_len_tokens,0.9888852495186846,0.4665445544554455
MolecuLA raw OLS (seed-excluded),HBA,11,branch_token_count,0.9326933066267283,0.03870495049504951
MolecuLA raw OLS (seed-excluded),HBA,11,ring_token_count,0.9614577881621744,0.026659405940594065
MolecuLA raw OLS (seed-excluded),HBA,11,token_entropy,0.8899240960309688,0.007946915913911634
MolecuLA raw OLS (seed-excluded),HBA,12,selfies_len_tokens,0.9958691472185085,0.48996435643564357
MolecuLA raw OLS (seed-excluded),HBA,12,branch_token_count,0.9679670757040189,0.04769108910891091
