property,cosine_chemspace_vs_raw_ols,cosine_chemspace_vs_residual_ols,chemspace_confound_subspace_overlap,cosine_chemspace_vs_selfies_len_tokens,cosine_chemspace_vs_branch_token_count,cosine_chemspace_vs_ring_token_count,cosine_chemspace_vs_token_entropy
FractionCSP3,0.14380233613627716,0.1192960269756633,0.0813169475576561,-0.012336773479192558,-0.0059682955032380695,-0.020207437818271893,-0.06822527914458433
HBA,0.13315736622663932,0.11652023193993175,0.0739246262276168,0.04023038061145552,0.028483585620593145,0.031930044331617884,0.06836025377954817
TPSA,0.12858287877493702,0.10454032750702522,0.07313885149239914,0.04901329373099878,0.046985097242939526,0.018663273704954603,0.05786936683892678
cLogP,0.12096953724393242,0.12629717030243237,0.05639212452706536,0.016085437495460993,0.002452076424388999,0.02229607385382621,-0.02559429085800933
BertzCT,0.09788822446605885,0.031605500952866766,0.104741590379847,0.08538357602848388,0.06708641032050792,0.08766136277235562,0.09302353258869228
HeavyAtomCount,0.09568567866091304,0.01982228608460364,0.10584499712815577,0.09325189623029223,0.07426956480405704,0.0707417595898723,0.08586402275639596
