property,direction_type,direction_target,seed_id,response,spearman_rho,linear_slope_per_alpha,expected_sign_fraction,validity,valid_count,decode_count,seed_value
BertzCT,raw_property,BertzCT,21,raw_property,0.9610163738885383,23.023896479516807,0.85,1.0,100,100,1219.0180869194414
BertzCT,raw_property,BertzCT,21,diagnostic_residual,0.07294626144871151,6.82471044288736,0.5,1.0,100,100,194.0289997369432
BertzCT,raw_property,BertzCT,22,raw_property,0.9114855880950754,7.985391511247421,0.86,1.0,100,100,719.4486846444313
BertzCT,raw_property,BertzCT,22,diagnostic_residual,-0.7550256973602488,-7.564794238337278,0.07,1.0,100,100,-174.17870299754134
BertzCT,raw_property,BertzCT,23,raw_property,0.9571948233134794,11.14191301691664,0.87,1.0,100,100,356.1296296686226
BertzCT,raw_property,BertzCT,23,diagnostic_residual,-0.4587625916975656,-3.38486506450719,0.21,1.0,100,100,-107.54923682232646
BertzCT,raw_property,BertzCT,24,raw_property,0.8919755307622107,6.046593787242429,0.71,1.0,100,100,535.21969799903
BertzCT,raw_property,BertzCT,24,diagnostic_residual,-0.9162481784864848,-9.898316837298555,0.1,1.0,100,100,54.254669160193885
BertzCT,raw_property,BertzCT,25,raw_property,0.9598688579758186,19.539537350117126,0.78,1.0,100,100,919.765601275144
BertzCT,raw_property,BertzCT,25,diagnostic_residual,-0.12500870274199868,3.863407452472081,0.21,1.0,100,100,-86.53113913564323
BertzCT,raw_property,BertzCT,26,raw_property,0.9444649404781906,7.205413611947894,0.86,1.0,100,100,713.5486614084061
BertzCT,raw_property,BertzCT,26,diagnostic_residual,-0.9257486316002856,-6.748550443662399,0.21,1.0,100,100,73.35665521020053
BertzCT,raw_property,BertzCT,27,raw_property,0.9548302998367665,14.695362959499706,0.89,1.0,100,100,779.3668573563046
BertzCT,raw_property,BertzCT,27,diagnostic_residual,-0.22671029892944844,-1.1414053847425603,0.31,1.0,100,100,36.213602179533154
BertzCT,raw_property,BertzCT,28,raw_property,0.9872672773831946,15.575085807368815,0.87,1.0,100,100,373.6247421664592
BertzCT,raw_property,BertzCT,28,diagnostic_residual,-0.12981627909746785,0.7744589112946668,0.21,1.0,100,100,-2.7803733876650085
BertzCT,raw_property,BertzCT,29,raw_property,0.9424670147951222,8.735002460803383,0.82,1.0,100,100,397.81326077302657
BertzCT,raw_property,BertzCT,29,diagnostic_residual,-0.5625738066104062,-3.910639318714065,0.2,1.0,100,100,12.787729926674444
BertzCT,raw_property,BertzCT,30,raw_property,0.9591914058781894,16.927059788819744,0.88,1.0,100,100,836.8263658578
BertzCT,raw_property,BertzCT,30,diagnostic_residual,-0.3531280446390004,0.5096094226443665,0.31,1.0,100,100,131.36151215582925
BertzCT,raw_property,BertzCT,31,raw_property,0.9083312657867865,8.069430827250342,0.83,1.0,100,100,564.4364862495336
BertzCT,raw_property,BertzCT,31,diagnostic_residual,-0.8501834069103708,-6.946516299190725,0.15,1.0,100,100,31.091687887287776
BertzCT,raw_property,BertzCT,32,raw_property,0.9010027233818206,3.7328940376130992,0.69,1.0,100,100,375.65046120662737
BertzCT,raw_property,BertzCT,32,diagnostic_residual,-0.9350818049619729,-10.543137874753711,0.11,1.0,100,100,12.129399046001595
BertzCT,raw_property,BertzCT,33,raw_property,0.9676728252975932,12.902512522472566,0.75,1.0,100,100,227.96526492984668
BertzCT,raw_property,BertzCT,33,diagnostic_residual,-0.457914848635486,0.04103220894608449,0.24,1.0,100,100,-37.89255165107119
BertzCT,raw_property,BertzCT,34,raw_property,0.8199559839414261,9.797951219408269,0.72,1.0,100,100,1313.5059942807416
BertzCT,raw_property,BertzCT,34,diagnostic_residual,-0.5968035382613892,-6.099339424281235,0.33,1.0,100,100,131.05200340496685
BertzCT,raw_property,BertzCT,35,raw_property,0.9378909436111659,14.657758726058503,0.84,1.0,100,100,1072.5914085132597
BertzCT,raw_property,BertzCT,35,diagnostic_residual,-0.1424658255153896,-0.8456145551924501,0.39,1.0,100,100,84.9807698853748
BertzCT,raw_property,BertzCT,36,raw_property,0.9538642113229718,13.608961621142788,0.76,1.0,100,100,834.8668573563044
BertzCT,raw_property,BertzCT,36,diagnostic_residual,-0.2313372209364482,-1.7712612007456106,0.24,1.0,100,100,9.858098351177432
BertzCT,raw_property,BertzCT,37,raw_property,0.9078398135518888,6.992008617786227,0.87,1.0,100,100,687.1395830560557
BertzCT,raw_property,BertzCT,37,diagnostic_residual,-0.8416495032104031,-9.266787129182438,0.11,1.0,100,100,-239.12414308594305
BertzCT,raw_property,BertzCT,38,raw_property,0.9652221987272327,8.558166748642083,0.78,1.0,100,100,542.9693340915088
BertzCT,raw_property,BertzCT,38,diagnostic_residual,-0.6252418765893119,-6.981554343345276,0.08,1.0,100,100,-144.8419654542745
BertzCT,raw_property,BertzCT,39,raw_property,0.9643124435121031,13.283314329406057,0.84,1.0,100,100,396.499379292522
BertzCT,raw_property,BertzCT,39,diagnostic_residual,-0.4227005612968497,-0.8589421047331258,0.17,1.0,100,100,51.48873980144333
