property,cos_raw_residual,abs_cos_raw_residual,confound_subspace_overlap_raw,confound_subspace_overlap_residual,confound_subspace_rank,cos_raw_selfies_len_tokens,abs_cos_raw_selfies_len_tokens,cos_residual_selfies_len_tokens,abs_cos_residual_selfies_len_tokens,cos_raw_branch_token_count,abs_cos_raw_branch_token_count,cos_residual_branch_token_count,abs_cos_residual_branch_token_count,cos_raw_ring_token_count,abs_cos_raw_ring_token_count,cos_residual_ring_token_count,abs_cos_residual_ring_token_count,cos_raw_token_entropy,abs_cos_raw_token_entropy,cos_residual_token_entropy,abs_cos_residual_token_entropy
FractionCSP3,0.8674565707940757,0.8674565707940757,0.5467236887175213,0.2669546136126981,4,-0.18736996084398244,0.18736996084398244,-0.10274205943842603,0.10274205943842603,-0.19728444395880318,0.19728444395880318,-0.178368851330018,0.178368851330018,-0.10002715150831955,0.10002715150831955,0.029140870286511477,0.029140870286511477,-0.5025360790205133,0.5025360790205133,-0.09254852938347387,0.09254852938347387
HBA,0.7746514995594496,0.7746514995594496,0.6048906695712497,0.20701079979367218,4,0.5967477467513291,0.5967477467513291,0.01655123496255346,0.01655123496255346,0.5084093142268467,0.5084093142268467,0.02755164725078097,0.02755164725078097,0.4888586961512479,0.4888586961512479,0.04586206951156694,0.04586206951156694,0.41075976689157545,0.41075976689157545,-0.12861645900406554,0.12861645900406554
TPSA,0.833911782765243,0.833911782765243,0.525235075958438,0.171257968106793,4,0.5023071228228977,0.5023071228228977,0.026895805757122915,0.026895805757122915,0.4798763232197833,0.4798763232197833,0.047508891657811594,0.047508891657811594,0.3657543995957627,0.3657543995957627,0.07551081759277506,0.07551081759277506,0.41411008115007053,0.41411008115007053,-0.05109517583059741,0.05109517583059741
cLogP,0.816103175724353,0.816103175724353,0.6042981328569359,0.11975732381322206,4,0.5701382743193892,0.5701382743193892,0.036173409150296765,0.036173409150296765,0.4729185830062867,0.4729185830062867,0.0379922250690264,0.0379922250690264,0.4400459129053996,0.4400459129053996,-0.032136985505893265,0.032136985505893265,0.2367793786892795,0.2367793786892795,0.03556863686168214,0.03556863686168214
BertzCT,0.47533173132617706,0.47533173132617706,0.9113005121214611,0.2926016730600169,4,0.9032402641183686,0.9032402641183686,0.10354240488429169,0.10354240488429169,0.7773955732560905,0.7773955732560905,0.13671915533596113,0.13671915533596113,0.7944535406379944,0.7944535406379944,0.07693514678583178,0.07693514678583178,0.5813725161178986,0.5813725161178986,-0.12064204205201257,0.12064204205201257
HeavyAtomCount,0.33704601396172895,0.33704601396172895,0.9749057518789164,0.12649038108401486,4,0.9639164328770076,0.9639164328770076,0.1177958258376555,0.1177958258376555,0.8208855305041026,0.8208855305041026,0.10160011574237623,0.10160011574237623,0.7803353672957337,0.7803353672957337,0.09929619248450552,0.09929619248450552,0.579462197701452,0.579462197701452,0.03999780520716241,0.03999780520716241
