method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,HBA,-1.0,200,1.0,1.0,0.84,4.0,0.0,5.442689119137672,0.0,0.8683259541973154,0.0,0.0,0.33,0.1987654320987654,0.11825513196480934,0.450592885375494,0.18292682926829268
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.9,200,1.0,1.0,0.81,4.0,0.0,5.445677809384549,0.0,0.8615980338690654,0.0,0.0,0.32,0.20959419885650538,0.1185285053929121,0.5183658170914542,0.21604938271604937
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.8,200,1.0,1.0,0.765,4.0,0.0,5.443190008154358,0.0,0.8595732421988779,0.0,0.0,0.27,0.2486559139784946,0.13363226927939315,0.7755028735632183,0.28484848484848485
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.7,200,1.0,1.0,0.7,4.0,0.0,5.453998015297387,0.0,0.8595732421988779,0.0,0.0,0.235,0.2846961740435109,0.14092664092664087,1.0,0.34545454545454546
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.6,200,1.0,1.0,0.665,4.0,0.0,5.491188508925118,0.0,0.8570227695561633,0.0,0.0,0.23,0.326250307957625,0.146691773740954,1.0,0.36904761904761907
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.5,200,1.0,1.0,0.59,4.0,0.0,5.532438878249197,0.0,0.8383346517895613,0.0,0.0,0.225,0.4865497076023392,0.17774540960451973,1.0,0.44047619047619047
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.3999999999999999,200,1.0,1.0,0.54,4.0,0.0,5.525132245072053,0.0,0.8383346517895613,0.0,0.0,0.23,0.5330917874396135,0.19512622720897616,1.0,0.4880952380952381
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.2999999999999999,200,1.0,1.0,0.445,4.0,0.0,5.432402210491054,0.0,0.8106048467647559,0.0,0.0,0.185,1.0,0.23160535117056855,1.0,0.5588235294117647
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.1999999999999999,200,1.0,1.0,0.3,4.0,0.0,5.308099302099905,0.0,0.7953486757031628,0.0,0.0,0.13,1.0,0.508983666061706,1.0,0.7159763313609467
ChemSpacE released-ZINC protocol,native_l2,HBA,-0.0999999999999999,200,1.0,1.0,0.185,4.0,0.0,5.410964407320817,0.0,0.7905012555419906,0.0,0.0,0.08,1.0,1.0,1.0,0.8245614035087719
ChemSpacE released-ZINC protocol,native_l2,HBA,0.0,200,1.0,1.0,0.0,4.0,0.0,5.410964407320817,0.0,0.7557398351622628,0.0,0.0,,1.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,HBA,0.1,200,1.0,1.0,0.195,4.0,0.0,5.416889265552331,0.0,0.7557398351622628,0.0,0.0,0.065,1.0,1.0,1.0,0.8265895953757225
ChemSpacE released-ZINC protocol,native_l2,HBA,0.2000000000000001,200,1.0,1.0,0.33,4.5,0.0,5.376848124149971,0.0,0.7549865488044953,0.0,0.0,0.125,1.0,0.4507992007992007,1.0,0.6863905325443787
ChemSpacE released-ZINC protocol,native_l2,HBA,0.3,200,1.0,1.0,0.42,4.5,0.0,5.305489786327306,0.0,0.7424577226646873,0.0,0.0,0.165,1.0,0.2858056265984654,1.0,0.6071428571428571
ChemSpacE released-ZINC protocol,native_l2,HBA,0.4000000000000001,200,1.0,1.0,0.48,5.0,0.0,5.351179888670092,0.0,0.7412682654834553,0.0,0.0,0.215,1.0,0.21890756302521003,1.0,0.5515151515151515
ChemSpacE released-ZINC protocol,native_l2,HBA,0.5,200,1.0,1.0,0.545,5.0,0.0,5.385674041486039,0.0,0.7557398351622628,0.0,0.0,0.25,0.652557319223986,0.17943893260348948,1.0,0.503030303030303
ChemSpacE released-ZINC protocol,native_l2,HBA,0.6000000000000001,200,1.0,1.0,0.61,5.0,0.0,5.385674041486039,0.0,0.8074156881747016,0.0,0.0,0.265,0.43030615248748894,0.16133557800224466,1.0,0.43636363636363634
ChemSpacE released-ZINC protocol,native_l2,HBA,0.7000000000000002,200,1.0,1.0,0.67,5.0,0.0,5.367953411903738,0.0,0.8330807569726625,0.0,0.0,0.285,0.3457481872116018,0.15453296703296698,1.0,0.3719512195121951
ChemSpacE released-ZINC protocol,native_l2,HBA,0.8,200,1.0,1.0,0.74,5.0,0.0,5.409508754513033,0.0,0.8490162813618536,0.0,0.0,0.305,0.2847490347490347,0.14936155913978488,1.0,0.28484848484848485
ChemSpacE released-ZINC protocol,native_l2,HBA,0.9000000000000001,200,1.0,1.0,0.785,5.0,0.0,5.43780232096818,0.0,0.8358796747213502,0.0,0.0,0.33,0.2254032258064516,0.1411845730027548,0.6927043544690603,0.24096385542168675
ChemSpacE released-ZINC protocol,native_l2,HBA,1.0,200,1.0,1.0,0.805,5.0,0.0,5.510806160655659,0.0,0.8116047834295443,0.0,0.0,0.325,0.20705317954475855,0.1411845730027548,0.5771720969089391,0.22560975609756098
ChemSpacE released-ZINC protocol,native_l2,TPSA,-1.0,200,1.0,1.0,0.85,64.7,0.0,5.4652516157725,0.0,0.7926835828971645,0.0,0.0,0.47,0.20240963855421684,0.1267914932963476,0.42204301075268813,0.18072289156626506
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.9,200,1.0,1.0,0.825,64.905,0.0,5.4652516157725,0.0,0.7842110932880494,0.0,0.0,0.445,0.22261970280682436,0.13384879725085908,0.4570863918690006,0.19879518072289157
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.8,200,1.0,1.0,0.8,64.7,0.0,5.449168021355935,0.0,0.7993631849015066,0.0,0.0,0.415,0.2397372742200328,0.13269368173930793,0.5931818181818183,0.24390243902439024
