method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,cLogP,56,21,21,True,False,False,False,True,True,False,False,False,False,0.6371516456845915,2.271587012987013,0.6371516456845915,0.2455779009340416,0.9141741003300661,0.5379380104842317,0.4,0.5238095238095238,0.5238095238095238,0.14,0.47619047619047616,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,57,21,21,True,False,False,False,True,True,False,False,False,False,0.7920871533628042,2.0249693506493527,0.7505394346584947,0.608877217147602,-0.37795021531017053,-0.050995849343953875,0.65,0.8571428571428571,0.8571428571428571,0.256198347107438,0.9523809523809523,0.15
ChemSpacE released-ZINC protocol,native_l2,cLogP,58,21,21,True,False,False,False,True,True,False,False,False,False,0.1346546253638104,0.08902077922077893,0.7858933589415118,0.48937132657611265,0.1346546253638104,0.11977663181060637,0.2,0.2857142857142857,0.2857142857142857,1.0,0.9523809523809523,0.75
ChemSpacE released-ZINC protocol,native_l2,cLogP,59,21,21,True,False,False,False,True,True,False,False,False,True,-0.4954336943068623,0.18695454545454593,-0.4954336943068623,-0.023419196289239004,-0.4954336943068623,-0.2116670588704473,0.05,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,60,21,21,True,False,False,False,True,True,False,False,False,True,0.4639152846203149,0.5170609090909101,-0.8669124005531138,-0.7035973136212094,0.8669124005531138,0.3346465533337278,0.35,0.6666666666666666,0.6666666666666666,0.4146341463414634,1.0,0.3333333333333333
ChemSpacE released-ZINC protocol,native_l2,cLogP,61,21,21,True,False,False,True,True,True,False,False,False,True,-0.7336212109589192,-1.550641558441559,-0.7336212109589192,-0.7381161254092267,-0.9116846116771035,-0.6464947358926509,0.0,0.47619047619047616,0.47619047619047616,1.0,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,62,21,21,True,False,False,False,True,True,False,False,False,False,-0.9101427593541499,-1.4972084415584397,-0.8543485672098342,-0.7137157158776813,-0.8543485672098342,-0.424196305019801,0.0,0.7619047619047619,0.7619047619047619,0.3673469387755102,1.0,0.23809523809523808
ChemSpacE released-ZINC protocol,native_l2,cLogP,63,21,21,True,False,False,False,True,True,False,False,False,False,0.595946779250695,1.9633415584415608,-0.6710266884476329,-0.6018936760198913,0.4256762708933535,0.18577474751443934,0.45,0.6190476190476191,0.6190476190476191,0.2435897435897435,1.0,0.47619047619047616
ChemSpacE released-ZINC protocol,native_l2,cLogP,64,21,21,True,True,False,True,True,True,True,False,True,True,-0.8312094145936334,-0.47588961038961164,0.48122650318578775,0.10854940644423235,-0.8312094145936334,-0.13693195918933687,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7619047619047619
ChemSpacE released-ZINC protocol,native_l2,cLogP,65,21,21,True,False,False,False,True,True,False,False,False,True,-0.8905765921799081,-1.6663922077922086,-0.385039335343724,-0.35399910778834387,-0.4044298054689475,-0.41257500616055687,0.0,0.5238095238095238,0.5238095238095238,0.6486486486486487,0.0,
