direction_name,direction_kind,property,alpha,decode_count,valid_count,descriptor,mean_value,median_value,q25_value,q75_value,mean_change_from_seed,median_change_from_seed,q25_change_from_seed,q75_change_from_seed
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,HeteroatomCount,3.22,2.0,2.0,4.0,-2.36,-2.0,-3.75,-1.0
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,RingCount_calc,0.06,0.0,0.0,0.0,-2.7,-3.0,-3.75,-2.0
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,AromaticRingCount_calc,0.0,0.0,0.0,0.0,-2.08,-2.0,-3.0,-1.0
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,BondCount,3.42,2.0,1.0,4.0,-21.02,-22.0,-25.0,-16.25
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,BranchPointCount,0.44,0.0,0.0,1.0,-6.7,-7.0,-8.0,-5.0
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,AromaticAtomFraction,0.0,0.0,0.0,0.0,-0.512588623479048,-0.5,-0.6520935960591133,-0.4182692307692308
raw::cLogP,raw_property,cLogP,-140.9090909090909,50,50,AromaticBondFraction,0.0,0.0,0.0,0.0,-0.48690678907577895,-0.47058823529411764,-0.6157894736842104,-0.39285714285714285
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,MolWt,71.72016,58.06,33.03,89.04099999999998,-253.0018000000001,-267.3385000000002,-306.5975000000001,-198.21725
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,CarbonCount,1.32,1.0,0.0,2.0,-15.78,-17.0,-19.0,-12.25
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,HeavyAtomCount_calc,4.72,4.0,2.0,6.0,-17.96,-19.0,-21.75,-14.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,HeteroatomCount,3.4,3.0,2.0,4.0,-2.18,-2.0,-4.0,-1.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,RingCount_calc,0.08,0.0,0.0,0.0,-2.68,-3.0,-3.0,-2.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,AromaticRingCount_calc,0.0,0.0,0.0,0.0,-2.08,-2.0,-3.0,-1.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,BondCount,3.8,3.0,1.0,5.0,-20.64,-22.0,-25.0,-16.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,BranchPointCount,0.56,0.0,0.0,1.0,-6.58,-7.0,-8.0,-5.0
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,AromaticAtomFraction,0.0,0.0,0.0,0.0,-0.512588623479048,-0.5,-0.6520935960591133,-0.4182692307692308
raw::cLogP,raw_property,cLogP,-137.87878787878788,50,50,AromaticBondFraction,0.0,0.0,0.0,0.0,-0.48690678907577895,-0.47058823529411764,-0.6157894736842104,-0.39285714285714285
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,MolWt,68.5117,62.07000000000001,33.03,91.80799999999999,-256.21026000000006,-267.58050000000014,-306.5975000000001,-201.95349999999996
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,CarbonCount,1.22,1.0,0.0,2.0,-15.88,-17.0,-19.0,-13.0
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,HeavyAtomCount_calc,4.54,4.0,2.0,6.0,-18.14,-18.5,-22.0,-14.25
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,HeteroatomCount,3.32,3.0,2.0,4.0,-2.26,-2.0,-4.0,-1.0
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,RingCount_calc,0.1,0.0,0.0,0.0,-2.66,-3.0,-3.0,-2.0
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,AromaticRingCount_calc,0.0,0.0,0.0,0.0,-2.08,-2.0,-3.0,-1.0
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,BondCount,3.64,3.0,1.0,6.0,-20.8,-22.0,-25.0,-16.25
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,BranchPointCount,0.54,0.0,0.0,1.0,-6.6,-7.0,-8.0,-5.0
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,AromaticAtomFraction,0.0,0.0,0.0,0.0,-0.512588623479048,-0.5,-0.6520935960591133,-0.4182692307692308
raw::cLogP,raw_property,cLogP,-134.84848484848484,50,50,AromaticBondFraction,0.0,0.0,0.0,0.0,-0.48690678907577895,-0.47058823529411764,-0.6157894736842104,-0.39285714285714285
raw::cLogP,raw_property,cLogP,-131.8181818181818,50,50,MolWt,70.95474,70.543,33.03,96.31325000000001,-253.7672200000001,-264.86650000000014,-305.9050000000001,-201.95349999999996
raw::cLogP,raw_property,cLogP,-131.8181818181818,50,50,CarbonCount,1.32,1.0,0.0,2.0,-15.78,-16.5,-19.0,-13.0
raw::cLogP,raw_property,cLogP,-131.8181818181818,50,50,HeavyAtomCount_calc,4.7,4.5,2.0,6.75,-17.98,-18.5,-21.75,-14.25
raw::cLogP,raw_property,cLogP,-131.8181818181818,50,50,HeteroatomCount,3.38,3.0,2.0,4.0,-2.2,-2.0,-3.75,-1.0
raw::cLogP,raw_property,cLogP,-131.8181818181818,50,50,RingCount_calc,0.08,0.0,0.0,0.0,-2.68,-3.0,-3.75,-2.0
