direction_name,direction_kind,alpha,valid_count,median_clogp,q25_clogp,q75_clogp,median_fixed_graph_size_residual,q25_fixed_graph_size_residual,q75_fixed_graph_size_residual,median_fixed_graph_size_residual_change_from_seed
raw::cLogP,raw_property,-150.0,50,-0.6657000000000002,-0.9553,-0.29419,-0.16532426498412445,-0.20018633500568112,0.1528612607853964,-0.251155141620084
raw::cLogP,raw_property,-146.96969696969697,50,-0.6657000000000002,-0.8597250000000001,-0.29419,-0.16532426498412445,-0.22895282584576432,0.1528612607853964,-0.23290324822603536
raw::cLogP,raw_property,-143.93939393939394,50,-0.6657000000000002,-0.956275,-0.29419,-0.16532426498412445,-0.32026928245822067,0.13696606623936178,-0.2765170365882108
raw::cLogP,raw_property,-140.9090909090909,50,-0.6657000000000002,-0.9906900000000002,-0.29419,-0.16532426498412445,-0.43959637047916755,0.155685218589466,-0.2765170365882108
raw::cLogP,raw_property,-137.87878787878788,50,-0.6657000000000002,-1.0429050000000002,-0.3034,-0.16532426498412445,-0.6253743091587458,0.155685218589466,-0.3271524929258064
raw::cLogP,raw_property,-134.84848484848484,50,-0.6657000000000002,-0.9759400000000001,-0.3034,-0.16532426498412445,-0.4847047336296531,0.1504159598185001,-0.21572866542937585
raw::cLogP,raw_property,-131.8181818181818,50,-0.6657000000000002,-0.9784450000000002,-0.394875,-0.16532426498412445,-0.7136193729927941,0.06515833997010197,-0.21572866542937585
raw::cLogP,raw_property,-128.78787878787878,50,-0.6657000000000002,-1.18073,-0.394875,-0.16949685574801399,-0.7401200683030175,-0.08671824573062277,-0.25311596674260717
raw::cLogP,raw_property,-125.75757575757576,50,-0.74911,-1.36869,-0.4049999999999999,-0.27060654651698535,-0.7940445109849881,-0.13592831113414394,-0.28730148026432023
raw::cLogP,raw_property,-122.72727272727272,50,-0.74911,-1.406265,-0.40510499999999994,-0.3102227246189725,-0.8620655963255552,-0.15235590270394783,-0.36550604977704937
raw::cLogP,raw_property,-119.69696969696967,50,-0.7278600000000001,-1.2387800000000002,-0.5770150000000001,-0.36355855344152654,-0.7961585116868024,-0.16532426498412445,-0.4621681501265298
raw::cLogP,raw_property,-116.66666666666666,50,-0.7401249999999995,-1.2342250000000001,-0.582625,-0.4153739977236983,-0.7968137226402812,-0.17445469386600937,-0.6234171342652551
raw::cLogP,raw_property,-113.63636363636364,50,-0.7188100000000002,-1.228155,-0.4422,-0.3505191951879586,-0.8111535085384858,-0.16532426498412445,-0.5839250561152173
