property,latent_r2_after_nonlinear_residualization
FractionCSP3,0.7606373524529785
HBA,0.661685743606194
BertzCT,0.6478424338151485
cLogP,0.6414175493270214
TPSA,0.6412116902254457
HeavyAtomCount,0.5626486495253326
