property,valid_fraction__ChemSpacE_adapted_extreme-SVM,valid_fraction__MolecuLA_continuous_OLS,canonical_unique_fraction_total__ChemSpacE_adapted_extreme-SVM,canonical_unique_fraction_total__MolecuLA_continuous_OLS,median_per_seed_spearman__ChemSpacE_adapted_extreme-SVM,median_per_seed_spearman__MolecuLA_continuous_OLS,median_expected_sign_fraction__ChemSpacE_adapted_extreme-SVM,median_expected_sign_fraction__MolecuLA_continuous_OLS,changed_from_seed_fraction_all__ChemSpacE_adapted_extreme-SVM,changed_from_seed_fraction_all__MolecuLA_continuous_OLS,median_seed_similarity__ChemSpacE_adapted_extreme-SVM,median_seed_similarity__MolecuLA_continuous_OLS,scaffold_evaluable_fraction__ChemSpacE_adapted_extreme-SVM,scaffold_evaluable_fraction__MolecuLA_continuous_OLS,fraction_at_decoder_token_budget__ChemSpacE_adapted_extreme-SVM,fraction_at_decoder_token_budget__MolecuLA_continuous_OLS,median_sa_score__ChemSpacE_adapted_extreme-SVM,median_sa_score__MolecuLA_continuous_OLS,median_np_likeness_score__ChemSpacE_adapted_extreme-SVM,median_np_likeness_score__MolecuLA_continuous_OLS
BertzCT,0.919047619047619,1.0,0.1666666666666666,0.6942857142857143,0.7260928298899045,0.9494751924649562,0.85,0.9,0.8733333333333333,0.8952380952380953,0.0126582278481012,0.081967213114754,0.0984455958549222,0.6285714285714286,0.6095238095238096,0.2238095238095238,7.284354713588849,3.750225576538498,0.0829075371190649,0.3478520086513775
FractionCSP3,1.0,1.0,0.2914285714285714,0.8828571428571429,0.918602818197492,0.9375830865193072,1.0,0.9,0.9542857142857144,0.861904761904762,0.022100122100122,0.0804084564860426,0.1009523809523809,0.8171428571428572,0.8742857142857143,0.0952380952380952,4.718797012828133,4.796023889001368,0.0158647311752545,0.6327032040343591
HBA,0.9971428571428572,1.0,0.3485714285714286,0.7485714285714286,0.9155936261855956,0.9548003033902334,1.0,0.85,0.9514285714285714,0.8580952380952381,0.0285714285714285,0.0836513994910941,0.099331423113658,0.7114285714285714,0.7857142857142857,0.1666666666666666,4.718797012828133,4.275637019013134,0.0158647311752545,0.204611785961809
HeavyAtomCount,0.5628571428571428,0.9695238095238096,0.3009523809523809,0.6561904761904762,0.8320918999730094,0.9676437564635012,1.0,0.8911764705882352,0.5171428571428571,0.8638095238095238,0.0390625,0.0857142857142857,0.1489001692047377,0.6453831041257367,0.4761904761904761,0.2209523809523809,7.98158898607228,4.824436059999182,0.053004419319909,0.4008919583186398
TPSA,1.0,1.0,0.4485714285714285,0.8104761904761905,0.8366827688034649,0.9355755287273432,1.0,0.85,0.9542857142857144,0.839047619047619,0.0357142857142857,0.0895522388059701,0.0752380952380952,0.7085714285714285,0.86,0.1095238095238095,4.718797012828133,4.0700678667433845,0.0158647311752545,0.2975834234838383
cLogP,1.0,1.0,0.2609523809523809,0.7923809523809524,0.9493763210059684,0.9351543845824836,1.0,0.875,0.9542857142857144,0.8495238095238096,0.0266666666666666,0.0920296430732002,0.1542857142857142,0.6695238095238095,0.8123809523809524,0.1457142857142857,5.29601219998,4.114691158552571,0.0158647311752545,0.43869906989925
