direction_name,direction_kind,property,alpha,decode_count,valid_count,fragment,mean_count,median_count,mean_count_change_from_seed,median_count_change_from_seed,fraction_with_count_change
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_bicyclic,0.0,0.0,-0.6829268292682927,-1.0,0.5365853658536586
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_diazo,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_dihydropyridine,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_epoxide,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_ester,0.0,0.0,-0.34146341463414637,0.0,0.2926829268292683
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_ether,0.0,0.0,-1.048780487804878,-1.0,0.8048780487804879
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_furan,0.0,0.0,-0.024390243902439025,0.0,0.024390243902439025
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_guanido,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_halogen,0.0,0.0,-0.6585365853658537,0.0,0.36585365853658536
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_hdrzine,0.0,0.0,-0.024390243902439025,0.0,0.024390243902439025
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_hdrzone,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_imidazole,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_imide,0.0,0.0,-0.024390243902439025,0.0,0.024390243902439025
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_isocyan,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_isothiocyan,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_ketone,0.0,0.0,-0.14634146341463414,0.0,0.14634146341463414
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_ketone_Topliss,0.0,0.0,-0.12195121951219512,0.0,0.12195121951219512
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_lactam,0.0,0.0,0.0,0.0,0.0
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_lactone,0.0,0.0,-0.024390243902439025,0.0,0.024390243902439025
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_methoxy,0.0,0.0,-0.3170731707317073,0.0,0.2926829268292683
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,fr_morpholine,0.0,0.0,-0.024390243902439025,0.0,0.024390243902439025
