direction_name,direction_kind,focus_property,alpha,sample_count,valid_count,validity,unique_valid_canonical_count,unique_canonical_fraction_among_valid,changed_evaluable_count,exact_changed_from_seed_fraction,seed_similarity_evaluable_count,seed_tanimoto_median,seed_tanimoto_q25,seed_tanimoto_q75,scaffold_evaluable_count,scaffold_retention,training_novelty_070_evaluable_count,training_novelty_at_070,training_neighbor_ge_070_count,nearest_training_similarity_median_among_hits_ge_070,nearest_training_similarity_note
raw::BertzCT,raw_property,BertzCT,-89.39393939393939,50,50,1.0,25,0.5,50,1.0,50,0.043560606060606064,0.02127659574468085,0.06630434782608696,3,0.0,50,0.96,2,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-86.36363636363637,50,50,1.0,26,0.52,50,1.0,50,0.05263157894736842,0.023076923076923078,0.06987295825771325,3,0.0,50,0.94,3,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-83.33333333333333,50,50,1.0,27,0.54,50,1.0,50,0.05442428730099963,0.023076923076923078,0.0764423076923077,2,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-80.3030303030303,50,50,1.0,34,0.68,50,1.0,50,0.05771365149833518,0.026806526806526808,0.07923076923076923,2,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-77.27272727272728,50,50,1.0,41,0.82,50,1.0,50,0.05941176470588235,0.024242424242424242,0.09378103277060576,2,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-74.24242424242425,50,50,1.0,40,0.8,50,1.0,50,0.06186224489795918,0.023076923076923078,0.10458839406207826,1,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-71.21212121212122,50,50,1.0,41,0.82,50,1.0,50,0.06857366771159874,0.04020979020979021,0.10638297872340426,1,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-68.18181818181819,50,50,1.0,42,0.84,50,1.0,50,0.06854460093896714,0.05015822784810127,0.10695288753799392,2,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-65.15151515151516,50,50,1.0,41,0.82,50,1.0,50,0.07785336356764927,0.05195099818511797,0.10345717234262125,7,0.0,50,0.9,5,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-62.121212121212125,50,50,1.0,45,0.9,50,1.0,50,0.08558275789914208,0.05406746031746031,0.11540920716112532,9,0.0,50,0.8,10,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-59.09090909090909,50,50,1.0,48,0.96,50,1.0,50,0.08706952566601689,0.06724137931034482,0.1170814479638009,8,0.0,50,0.9,5,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-56.06060606060606,50,50,1.0,50,1.0,50,1.0,50,0.0967741935483871,0.06239837398373983,0.14135338345864662,10,0.0,50,0.88,6,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-53.03030303030303,50,50,1.0,49,0.98,50,1.0,50,0.10839160839160839,0.06958128078817734,0.16096774193548385,13,0.0,50,0.86,7,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-50.0,50,50,1.0,49,0.98,50,1.0,50,0.11630434782608695,0.07352941176470588,0.16427127779025374,17,0.0,50,0.88,6,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-46.96969696969697,50,50,1.0,50,1.0,50,1.0,50,0.126131221719457,0.07413440059568131,0.16472226403733253,20,0.0,50,0.92,4,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-43.93939393939394,50,50,1.0,50,1.0,50,1.0,50,0.11566332218506131,0.08719541328236981,0.17341867469879518,26,0.0,50,0.88,6,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-40.90909090909091,50,50,1.0,50,1.0,50,1.0,50,0.12004801920768307,0.08832212563555847,0.18525943396226416,26,0.0,50,0.9,5,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-37.87878787878788,50,50,1.0,50,1.0,50,1.0,50,0.13636363636363635,0.09354413702239789,0.19489708404802744,23,0.0,50,0.92,4,0.7941575944423676,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-34.848484848484844,50,50,1.0,50,1.0,50,1.0,50,0.15620915032679739,0.10728021978021977,0.21108228317272054,26,0.038461538461538464,50,0.9,5,0.8125,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-31.818181818181813,50,50,1.0,50,1.0,50,1.0,50,0.19174208144796379,0.1159502262443439,0.2802197802197802,32,0.03125,50,0.94,3,0.8125,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-28.787878787878785,50,50,1.0,50,1.0,50,0.96,50,0.2142261159783062,0.12712418300653594,0.30874125874125874,36,0.05555555555555555,50,0.92,4,0.9545454680919647,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-25.757575757575765,50,50,1.0,50,1.0,50,0.9,50,0.26110154905335625,0.18319148936170213,0.3340348330914369,39,0.1282051282051282,50,0.88,6,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-22.727272727272734,50,50,1.0,50,1.0,50,0.8,50,0.4029540047581285,0.2857545045045045,0.5875504870515562,45,0.2222222222222222,50,0.8,10,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-19.69696969696969,50,50,1.0,50,1.0,50,0.66,50,0.5579710144927537,0.39813451153657337,1.0,49,0.3469387755102041,50,0.62,19,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-16.666666666666657,50,50,1.0,50,1.0,50,0.52,50,0.6881720430107527,0.4818532436708861,1.0,50,0.48,50,0.54,23,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-13.636363636363626,50,50,1.0,50,1.0,50,0.3,50,1.0,0.6338797814207651,1.0,50,0.7,50,0.32,34,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-10.606060606060597,50,50,1.0,50,1.0,50,0.12,50,1.0,1.0,1.0,50,0.9,50,0.16,42,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
